SIC	Description
355902	Cotton Ginning Equip & Supplies (Mfrs)
072401	Cotton Gins
513114	Cotton Goods-Converters (Whls)
221103	Cotton Goods-Manufacturers
594915	Cotton Goods-Retail
513113	Cotton Goods-Wholesale
226903	Cotton Mills (Mfrs)
207402	Cotton Oil Mills (Mfrs)
072402	Cotton Picking Machinery
228101	Cotton Processing (Mfrs)
473120	Cotton Shippers
384215	Cotton-Absorbent (Mfrs)
519989	Cotton-Duck (Whls)
072309	Cottonseed Delinting
207401	Cottonseed Products (Mfrs)
832201	Counseling Services
832288	Counseling-Transformation Services
832282	Counselors
832289	Counselors-Anger Control
832283	Counselors-Couples
832293	Counselors-Drug Alcohol & Nicotine
832284	Counselors-Holistic
832204	Counselors-Licensed Professional
832266	Counselors-Workplace Relations
571213	Counter Tops
179941	Counter Tops Restoration
254101	Counter Tops-Manufacturers
503131	Counter Tops-Wholesale
357913	Counterfeit Money Detecting Dvcs (Mfrs)
504406	Counting Machines (Whls)
539902	Country Stores
964103	County Government-Agricultural Programs
951203	County Government-Conservation Depts
921103	County Government-Courts
961103	County Government-Economic Program Adm
941103	County Government-Education Programs
951103	County Government-Environmental Programs
911103	County Government-Executive Offices
931103	County Government-Finance & Taxation
922403	County Government-Fire Protection
919903	County Government-General Offices
953103	County Government-Housing Programs
972103	County Government-International Affairs
922203	County Government-Legal Counsel
823103	County Government-Libraries
965103	County Government-Licensing & Inspection
971103	County Government-National Security
943103	County Government-Public Health Programs
922903	County Government-Public Order & Safety
944103	County Government-Social/Human Resources
953203	County Government-Urban Planning & Dev
945103	County Government-Veterans Affairs Admin
611103	County Govt-Adm Of Fed Credit Agencies
922303	County Govt-Correctional Institutions
963103	County Govt-Reg & Adm-Comms/Utilities
962103	County Govt-Transportation Programs
508409	Couplings (Whls)
421501	Courier Services
733801	Court & Convention Reporters
824403	Court Reporting Schools
921106	Courts
841207	Couture Art
278904	Covers-Book Catalog & Etc (Mfrs)
599964	Covers-Protective
542116	Crab Meat
519901	Craft & Craft Supplies-Wholesale
599988	Craft Galleries & Dealers
594501	Craft Supplies
394404	Craft Supplies-Manufacturers
829923	Craft-Instruction
594520	Crafts
594527	Crafts & Craft Supplies-Leatherwork
274124	Crafts Publications (Mfrs)
203305	Cranberries (Canners-Mfrs)
017101	Cranberry Growers
735301	Crane Service
508412	Cranes & Derricks (Whls)
508418	Cranes-Accessories & Parts (Whls)
769980	Cranes-Inspection & Testing Service
353109	Cranes-Manufacturers
353601	Cranes-Mobile (Mfrs)
735304	Cranes-Renting
769918	Cranes-Repairing
804989	Craniosacral Therapy
753806	Crankshaft Grinding
346202	Crankshaft-Manufacturers
027303	Crawfish Farms
395202	Crayons-Manufacturers
511220	Crayons-Wholesale
202101	Creameries (Mfrs)
729924	Credit & Debt Counseling Services
615302	Credit Card & Other Credit Plans
504428	Credit Card/Credit Plns Eqpt/Supl (Whls)
308107	Credit Card/Other Plans Equip/Supl-Mfrs
308104	Credit Card-Manufacturers
737404	Credit Card-Merchant Services
635105	Credit Card-Protection Service
516204	Credit Cards-Plastic Metal Etc-Distr
504422	Credit Card-Terminal Systems (Whls)
732303	Credit Investigators
729927	Credit Rating Correction Service
732301	Credit Reporting Agencies
729958	Credit Restoration
606101	Credit Unions
606298	Credit Unions Not Federally Chartered
726108	Cremation Service (Pre-Arranged)
726102	Crematories
356909	Crematories-Manufacturers
249102	Creosote (Mfrs)
521148	Creosoted Products
495323	Crime & Trauma Scene Clean Up
839917	Crime Prevention Programs
832247	Crime Victim Services
738113	Criminologists
832243	Crisis Centers
832208	Crisis Intervention Service
874115	Critical Path Scheduling
072298	Crop Harvesting-Primarily By Machine
072398	Crop Preparation Services For Market
799717	Croquet Clubs
594927	Cross Stitch
243106	Crossarms (Mfrs)
346698	Crowns & Closures (Mfrs)
325501	Crucibles (Mfrs)
461298	Crude Petroleum Pipelines
472406	Cruises
142398	Crushed & Broken Granite
142298	Crushed & Broken Limestone
142999	Crushed & Broken Stone Nec
508224	Crushing & Pulverizing Equip (Whls)
503225	Crushing & Pulverizing Service (Whls)
599946	Crutches
344317	Cryogenic Equipment & Supplies (Mfrs)
496101	Cryogenic Processing
873121	Cryogenic Research & Development
873308	Cryonic Services
367912	Crystal Quartz (Mfrs)
323108	Crystals-Industrial (Mfrs)
841206	Cultural Centres
839934	Cultural Preservation
162201	Culverts
503931	Cupolas (Whls)
172118	Curb Numbering & Marking
594704	Curios
799707	Curling Clubs
609901	Currency Exchanges
364398	Current-Carrying Wiring Devices (Mfrs)
571412	Curtain & Blind Fittings
239198	Curtain & Drapery-Manufacturers
179301	Curtain Walls
225903	Curtains-Manufacturers
239207	Curtains-Shower & Bath-Manufacturers
764103	Cushions (Upholstery Service)
251504	Cushions-Manufacturers
502333	Cushions-Wholesale
805912	Custodial Homes
308798	Custom Compounding-Purchased Resin
072106	Custom Farming
072204	Custom Harvesting
573420	Custom Relationship Management Software
473113	Customs Brokers
473110	Customs Consultants
328198	Cut Stone & Stone Products (Mfrs)
342198	Cutlery-Manufacturers
391403	Cutlery-Manufacturers (Tableware)
571918	Cutlery-Retail
507203	Cutlery-Wholesale
738933	Cutting & Slitting Svc
342306	Cutting Blocks (Mfrs)
299203	Cutting Compounds (Mfrs)
355910	Cutting Room Equipment & Supplies (Mfrs)
354598	Cutting Tools/Acces/Measuring Dvcs (Mfr)
375101	Cycle Accessory Mfrs & Wholesalers
286598	Cyclic Organic Crudes/Dyes/Pgmnts (Mfrs)
371405	Cylinder Heads-Manufacturers
359303	Cylinder Mfrs
508530	Cylinders-Air & Hydraulic (Whls)
359302	Cylinders-Air & Hydraulic-Manufacturers
359301	Cylinders-Electric (Mfrs)
344303	Cylinders-Gas (Mfrs)
753805	Cylinders-Rebuilding & Repairing
592106	Daiquiri Shops
024101	Dairies (Milk)
874849	Dairy Consultants
508317	Dairy Equipment & Supplies (Whls)
355613	Dairy Equipment & Supplies-Manufacturers
769953	Dairy Equipment & Supplies-Repairing
024103	Dairy Farms
873433	Dairy Laboratories
545101	Dairy Products-Retail
514303	Dairy Products-Wholesale
075109	Dairy Relief Milking
382205	Dampers (Mfrs)
869921	Dance Clubs
792215	Dance Companies
735979	Dance Floors-Portable
791101	Dancing Instruction
569904	Dancing Supplies
399912	Dancing Supplies-Manufacturers
513731	Dancing Supplies-Wholesale
791106	Dancing-Public
594512	Darts & Dart Boards
394407	Darts & Dart Boards-Manufacturers
509131	Darts & Dart Boards-Wholesale
737316	Data Acquisition Systems
481301	Data Communication Service
504506	Data Communications Equip/Systems (Whls)
173115	Data Communications Systems-Cabling
737304	Data Communications Systems-Networks
762938	Data Communications Systems-Svc/Repair
737205	Data Management
504507	Data Processing Equipment (Whls)
737802	Data Processing Equipment-Maintenance
357103	Data Processing Equipment-Manufacturers
737401	Data Processing Service
737202	Data Processing Software
511209	Data Processing Supplies (Whls)
737913	Data Retrieval Services
573409	Data Storage Equipment & Systems
737104	Data Systems Consultants & Designers
017901	Dates-Edible
729926	Dating Services
832210	Day Care Centers-Adult
832292	Day Services Adult
729929	Debt Adjusters
615305	Debt Buyers
354104	Deburring (Mfrs)
275209	Decals (Mfrs)
511320	Decals-Wholesale
152138	Deck Builders
504431	Decollating Machines (Whls)
738935	Decorating Contractors-Party/Convention
267908	Decoration Supplies-Manufacturers
511321	Decoration Supplies-Wholesale
594152	Decoys
442498	Deep Sea-Domestic Transport Of Freight
441298	Deep Sea-Foreign Transport Of Freight
448198	Deep Sea-Passenger Trans-Except Ferry
027910	Deer Farms
874876	Defense Contractors
516930	Degreasing Equipment & Supplies (Whls)
572209	Dehumidifying Equipment
358509	Dehumidifying Equipment-Manufacturers
504616	Dehydrating Equipment & Supplies (Whls)
203401	Dehydrating Service (Mfrs)
581229	Deli-Bakery
201102	Delicatessen Products (Mfrs)
581209	Delicatessens
514106	Delicatessens-Wholesale
421205	Delivery Service
179501	Demolition Consultants
179502	Demolition Contractors
731905	Demonstration Service-Merchandise
735202	Dental Equipment & Supplies-Leasing
384398	Dental Equipment & Supplies-Mfrs
504719	Dental Equipment & Supplies-Wholesale
384301	Dental Equipment-Manufacturers
769982	Dental Equipment-Repairing & Refinishing
862106	Dental Governing Bodies
804914	Dental Hygienists
807205	Dental Implants-Prosthesis
874243	Dental Practice-Management & Consultants
822109	Dental Schools
802106	Dental Surgeons
384302	Dentifrices (Mfrs)
809902	Dentist Information Bureaus
802101	Dentists
809903	Dentists Service Organizations
807202	Denture Repair Service
807203	Denturists
516927	Deodorants (Whls)
284204	Deodorants-Manufacturers
734207	Deodorizing & Disinfecting
508765	Deodorizing Equipment (Whls)
962106	Department Of Motor Vehicles
531102	Department Stores
839924	Dependency Information & Help Centres
801119	Dermatologists
152106	Designers
154102	Designers-Industrial
594304	Desk Pads & Accessories
502124	Desks (Whls)
573406	Desktop Publishing Equipment
472407	Destination Management
738104	Detective Agencies
738198	Detective Guard & Armored Car Services
738110	Detectives-Private
833110	Developmentally Disabled Info/Svcs
729946	Devotion For The Day
179953	Dewatering Contractors
204601	Dextrine (Mfrs)
832234	Diabetes Information Centers
599932	Diabetic Supplies
807129	Diagnostic Imaging Centers
382310	Dials (Mfrs)
809203	Dialysis
809202	Dialysis Equipment Services
509414	Diamond Brokers (Whls)
509413	Diamond Buyers (Whls)
342309	Diamond Cutters Equip & Supls (Mfrs)
391502	Diamond Cutting (Mfrs)
509439	Diamond Registries (Whls)
594405	Diamond Setters
354511	Diamond Tools (Mfrs)
594404	Diamonds
594406	Diamonds & Jewelry Bought
508532	Diamonds-Industrial (Whls)
509416	Diamonds-Wholesale
866119	Dianetics
267601	Diaper Products (Mfrs)
721905	Diaper Service
513732	Diapers-Wholesale
306926	Diaphragms-Industrial (Mfrs)
733813	Dictating Machine Transcribing
504414	Dictating Machines & Supplies (Whls)
354206	Die Casting Machinery (Mfrs)
505123	Die Castings (Whls)
354403	Die Cutting (Mfrs)
354401	Die Cutting Equipment & Supplies (Mfrs)
354402	Die Makers (Mfrs)
354412	Die Makers Equipment & Supplies-Mfrs
354413	Die Sinking (Mfrs)
267598	Die-Cut Paper & Paperboard (Mfrs)
354404	Dies (Mfrs)
554111	Diesel Exhaust Fluid
517203	Diesel Fuel (Whls)
354410	Dies-Steel Rule (Mfrs)
549928	Dietetic Food Products
804917	Dietitians
594606	Digital Cameras
731113	Digital Media Production
275935	Digital Printing (Mfrs)
141198	Dimension Stone
251107	Dinette Sets (Mfrs)
374305	Dining Car Builders (Mfrs)
864114	Dining Club Plans
265602	Dinnerware-Plastic (Mfrs)
594312	Diplomas
733109	Direct Mail Services
596398	Direct Selling Establishments
874403	Directory Enquiries
179408	Dirt Contractors
874244	Disability Accessibility Compliance
152129	Disability Accessibility Renovations
839905	Disability Services
736115	Disabled & Handicapped Employment Svc
735204	Disabled Persons Equipment & Supplies
832290	Disaster Contractors
832257	Disaster Preparedness
573127	Disc Jockey Equipment & Supplies
071106	Discing-Rotary Cultivating & Plowing Svc
581302	Discotheques
731922	Discount Cards Coupons & Stamp Companies
516940	Dishwashing Compounds (Whls)
504619	Dishwashing Machines-Commercial (Whls)
572208	Dishwashing Machines-Dealers
363904	Dishwashing Machines-Manufacturers
735967	Dishwashing Machines-Renting & Leasing
762906	Dishwashing Machines-Service & Repair
506407	Dishwashing Machines-Supls/Parts (Whls)
508531	Disinfectants & Germicides (Whls)
284207	Disinfectants & Germicides-Manufacturers
423102	Dispatch Service-Trucking
504636	Dispensing Devices (Whls)
358601	Dispensing Devices-Manufacturers
731901	Display Designers & Producers
399305	Display Designers & Producers-Mfrs
504622	Display Designers & Producers-Wholesale
731904	Display Dsgnrs/Producers-Expo Convention
504602	Display Fixtures & Materials (Whls)
254209	Display Fixtures & Materials-Mfrs
731906	Display Installation Service
238906	Disposable Garments (Mfrs)
511309	Disposable Products (Whls)
267907	Disposable Products-Manufacturers
495317	Disposal Wells
549925	Distilled Water
208501	Distillers (Mfrs)
518202	Distillers Representatives (Whls)
518205	Distillery Equipment & Supplies (Whls)
731907	Distributing Service-Circular & Sample
509998	Distribution Centers (Whls)
731908	Distribution Services
514961	Distributor-Groceries (Whls)
738941	Divers
594137	Divers Equipment & Supplies
394902	Divers Equipment & Supplies-Mfrs
799724	Diving Excursion Packages
799924	Diving Instruction
811111	Divorce Assistance
807115	Dna Testing
509155	Dock Bumpers (Whls)
162913	Dockboards & Ramps
162902	Docks (Builders)
449102	Docks (Facility)
344806	Docks-Manufacturers
733819	Document Preparation Service
733410	Document Recording
204701	Dog & Cat Food (Mfrs)
075207	Dog Breeders
869916	Dog Breeders-Information & Referral Svc
075239	Dog Catchers
179934	Dog Enclosures & Runways
521158	Dog Houses
799997	Dog Sledding
594165	Dog Sledding Equipment
394930	Dog Sleds-Manufacturers & Sales
794805	Dog Tracks
075206	Dog Training
594504	Doll Clothing & Accessories
394201	Doll Clothing & Accessories-Mfrs
509212	Doll Clothing & Accessories-Wholesale
594511	Doll Houses & Accessories
509221	Doll Houses & Accessories-Wholesale
509208	Doll-Mfrs Equipment & Supplies (Whls)
394298	Dolls & Stuffed Toys (Mfrs)
394204	Dolls Custom Made
394202	Dolls-Manufacturers
594524	Dolls-Parts Supplies & Instruction
769981	Dolls-Repairing
594510	Dolls-Retail
509205	Dolls-Wholesale
448907	Dolphin Encounters & Watching
154209	Dome Structures
832225	Domestic Abuse Information & Treatment
737309	Donor Recognition Systems
521102	Door & Gate Operating Devices
344214	Door & Window Components Manufacturing
521167	Door Assemblies
571980	Door Chimes & Bells
507206	Door Closers & Checks (Whls)
342905	Door Closers & Checks-Manufacturers
769984	Door Closers & Checks-Repairing
503117	Door Frames (Whls)
243105	Door Frames-Manufacturers
738209	Door Look-Outs
521131	Doors
503116	Doors & Frames-Coml & Industrial (Whls)
764118	Doors Refinishing
369904	Doors-Automatic (Mfrs)
344201	Doors-Fireproof (Mfrs)
243109	Doors-Folding (Mfrs)
521101	Doors-Garage
521134	Doors-Glass
321103	Doors-Glass-Manufacturers
243104	Doors-Manufacturers
521130	Doors-Metal
344203	Doors-Metal-Manufacturers
521132	Doors-Overhead Type
308915	Doors-Plastic Leather Or Fabric (Mfrs)
769983	Doors-Repairing
521143	Doors-Rolling
503126	Doors-Sliding (Whls)
525117	Doors-Supplies & Parts
507526	Doors-Traffic (Whls)
503119	Doors-Wholesale
521133	Doors-Wood
152125	Dormer Construction
702102	Dormitories
504620	Doughnut Machines & Supplies (Whls)
546105	Doughnuts
205101	Doughnuts-Manufacturers
514946	Doughnuts-Wholesale
503124	Dowels (Whls)
571954	Down Products
179411	Dozer Service
382904	Drafting Equipment Manufacturers
504902	Drafting Room Equipment & Supls (Whls)
738940	Drafting Services
162920	Draglines
325902	Drain Pipes-Clay-Manufacturers
162904	Drainage Contractors
571231	Drainboards
521159	Drain-Tile
829925	Dramatic Instruction
222112	Draperies & Curtains Pattern Makers
721915	Draperies & Curtains-Alterations
571407	Draperies & Curtains-Retail/Custom Made
502308	Draperies & Curtains-Wholesale
222104	Draperies-Manufacturers
721602	Drapery & Curtain Cleaners
571406	Drapery & Curtain Fabrics-Retail
513116	Drapery & Curtain Fabrics-Wholesale
571405	Drapery & Curtain Fixtures
259101	Drapery & Curtain Fixtures-Manufacturers
502311	Drapery & Curtain Fixtures-Wholesale
513150	Drapery & Curtain-Mfrs' Supls (Whls)
222106	Drapery Fabrics-Manufacturers
259198	Drapery Hdwr-Window Blinds/Shades (Mfrs)
571401	Drapery Installation Service
513123	Drapery Trimmings (Whls)
571402	Drapery Workrooms
342906	Drawer Slides-Manufacturers
299205	Drawing & Extruding Compounds (Mfrs)
335798	Drawing/Insulating-Nonferrous Wire (Mfr)
162914	Dredging
508232	Dredging Machinery (Whls)
353124	Dredging Machinery-Mfrs
504623	Dress Forms-Wholesale
562111	Dress Goods
513723	Dress Goods-Wholesale
594916	Dress Patterns
511322	Dress Patterns-Wholesale
513115	Dress Trimmings (Whls)
238198	Dress/Work Gloves-Ex Knit/Leather (Mfrs)
233501	Dresses-Manufacturers
513708	Dresses-Wholesale
234206	Dressing Gowns-Manufacturers
569906	Dressmakers
721904	Dressmakers Alterations
513710	Dressmakers Supplies (Whls)
824908	Dressmaking Schools
203498	Dried/Dehydrated Fruits Vegetables
354514	Drill Heads-Manufacturers
354208	Drill Presses (Mfrs)
178102	Drilling & Boring Contractors
508401	Drilling & Boring Equip & Supls (Whls)
354118	Drilling & Boring Equip & Supls-Mfrs
138107	Drilling Companies
138105	Drilling-Diamond Core
138198	Drilling-Oil & Gas Wells
508445	Drills (Whls)
596205	Drink Dispensers
501321	Drive Shafts (Whls)
371426	Drive Shafts-Industrial (Mfrs)
783301	Drive-In Motion Picture Theaters
177101	Driveways
161111	Driveways-Sealers
829902	Driving Instruction
829927	Driving Proficiency Test Service
501370	Driving Training Equipment (Whls)
239409	Drop Cloths (Mfrs)
839901	Drug Abuse & Addiction Info & Treatment
512223	Drug Brokers (Whls)
807108	Drug Detection Service & Equipment
283404	Drug Millers (Mfrs)
512206	Druggists-Sundries To The Trade (Whls)
809922	Drugless Practitioners
283401	Drug-Manufacturers
512224	Drug-Manufacturers Representatives
591211	Drugs-Crude
792916	Drum Corps
341204	Drums-Steel (Mfrs)
202398	Dry Condensed/Evprtd Dairy Prod (Mfrs)
449308	Dry Docks
594909	Dry Goods-Retail
513117	Dry Goods-Wholesale
599943	Dry Ice
152132	Dry Rot-Repair
174203	Dry Wall Contractors
342304	Dry Wall Contractors Equip & Supl-Mfrs
508205	Dry Wall Contractors Equip/Supls (Whls)
521153	Dry Wall Materials
171128	Dry Well Contractors
721698	Drycleaning Plants-Except Rug
572224	Dryers-Clothes
504617	Dryers-Hand (Whls)
508781	Drying Compounds (Whls)
508494	Drying Equipment-Industrial (Whls)
025903	Duck Farms
344404	Duct & Duct Fittings (Mfrs)
171124	Duct Systems-Air Conditioning & Heating
703202	Dude Ranches
829976	Dui Driving Schools
179602	Dumbwaiters
508592	Dumbwaiters-Supplies & Parts (Whls)
751306	Dump Truck Renting
495301	Dumps-Rubbish
559906	Dune Buggies
504416	Duplicating Machines & Supplies (Whls)
509999	Durable Goods Nec (Whls)
507414	Dust Collecting Systems (Whls)
511332	Dust Collector Bags (Whls)
356404	Dust Collector Bags-Manufacturers
507504	Dust Control Materials (Whls)
721801	Dusters & Dusting Cloths
399913	Dusters-Manufacturers
781218	Dvd Production & Duplication-Coml & Indl
573132	Dvd Sales & Svc
506566	Dvd Video Tapes Whls & Mfrs
721601	Dyers
226902	Dyers-Industrial (Mfrs)
516957	Dyers-Wholesale
516936	Dyes & Dyestuffs (Whls)
286502	Dyes & Dyestuffs-Manufacturers
382913	Dynamometers (Mfrs)
599980	Ear Molds & Protective Devices
509946	Ear Piercing Equipment & Supplies (Whls)
729928	Ear Piercing Service
599997	Ear Plugs
179412	Earth Energy
152143	Earth Home Construction
179978	Earthquake Products & Services
027904	Earthworms
395206	Easels-Manufacturers
804931	Eating Disorders Info & Treatment Ctrs
596104	E-Commerce
874875	Economic Development Agencies
873202	Economic Research & Analysis
733815	Editing & Research Services
899913	Editorial Services
829972	Education Centers
673298	Education Religious & Charitable Trusts
874881	Educational Assessement
864106	Educational Associations
874825	Educational Consultants
829926	Educational Cooperative Organizations
594310	Educational Materials
792915	Educational Performers
821108	Educational Programs
873201	Educational Research
673201	Educational Scholarship Plans
829929	Educational Service-Business
804988	Educative Therapy
809964	Egg Donation
508328	Egg Processing/Shpng Eqpt/Supls (Whls)
514403	Eggs (Whls)
201502	Eggs-Canned (Mfrs)
201503	Eggs-Dried (Mfrs)
549914	Eggs-Retail
224101	Elastic Goods (Mfrs)
513130	Elastic Goods-Wholesale
591204	Elastic Stockings
832279	Elderly Companion Service
369498	Elec Equip-Internal Comb Engines (Mfrs)
493198	Electric & Other Services-Combined
363404	Electric Appliances-Small-Manufacturers
173111	Electric Cable Fault Locating
371104	Electric Cars-Automobile (Mfrs)
554112	Electric Charging Station
491101	Electric Companies
173101	Electric Contractors
173102	Electric Contractors-Coml & Industrial
173105	Electric Contractors-Marine
362107	Electric Drives-Manufacturers
521135	Electric Equipment & Supplies-Retail
506330	Electric Equipment & Supplies-Wholesale
571966	Electric Equipment-Fixtures
369902	Electric Equipment-Manufacturers
735952	Electric Equipment-Renting
762903	Electric Equipment-Service & Repairing
762945	Electric Equipment-Testing
506329	Electric Equipment-Used (Whls)
369910	Electric Fence (Mfrs)
506360	Electric Heating Elements (Whls)
507506	Electric Heating Equip & Systems (Whls)
358510	Electric Heating Equipment-Manufacturers
363498	Electric Housewares & Fans (Mfrs)
362506	Electric Instruments-Manufacturers
364103	Electric Lamp Bulbs & Tubes-Mfrs
362504	Electric Motors-Controls-Manufacturers
506332	Electric Motors-Controls-Wholesale
506331	Electric Motors-Distributors (Whls)
506333	Electric Motors-Dlrs/Repairing (Whls)
362102	Electric Motors-Manufacturers
506334	Electric Motors-Supplies & Parts (Whls)
362108	Electric Motors-Supplies & Parts-Mfrs
593203	Electric Motors-Used
999947	Electric Power Systems-Emergency/Standby
874217	Electric Rate Consultants
362101	Electric Supplies-Manufacturers
506366	Electric Switchboards/Panels (Whls)
361301	Electric Switchboards-Manufacturers
594530	Electric Trains-Toy
361202	Electric Transmission/Distr Equip (Mfrs)
762999	Electrical & Electronic Repair Shops Nec
874218	Electrical Consultants
364308	Electrical Contacts Rebuilding (Mfrs)
173126	Electrical Designers
506369	Electrical Discharge Machining (Whls)
508465	Electrical Discharge Machs/Supls (Whls)
362998	Electrical Indstrl Apparatus Nec (Mfrs)
506357	Electrical Power Quality Systems (Whls)
738943	Electrical Power Systems-Maintenance
873421	Electrical Power Systems-Testing
369905	Electrical Products-Manufacturers
729988	Electro Body Sculpting
382401	Electro Mechanical Systems (Mfrs)
354103	Electro-Chemical Machining (Mfrs)
506363	Electrodes (Whls)
347112	Electroforming (Mfrs)
729930	Electrologists
729931	Electrolysis
399944	Electrolysis Equip & Supls-Manufacturers
508760	Electrolysis Equip & Supls-Wholesale
824920	Electrolysis Schools
384598	Electromedical/Therapeutic Apprts (Mfrs)
331398	Electrometallurgical Prod-Ex Steel (Mfr)
367198	Electron Tubes (Mfrs)
173125	Electronic Analysis
367501	Electronic Capacitor (Mfrs)
599306	Electronic Cigarettes
762946	Electronic Circuit Boards-Testing/Repair
367798	Electronic Coil & Transformers (Mfrs)
367898	Electronic Connectors (Mfrs)
173106	Electronic Control Systems
362503	Electronic Controls-Manufacturers
737310	Electronic Data Interchange
346918	Electronic Enclosures-Manufacturers
506555	Electronic Enclosures-Wholesale
573125	Electronic Equip/Supls-Process Controls
573136	Electronic Equipment & Supplies Kiosks
367901	Electronic Equipment & Supplies-Mfrs
762908	Electronic Equipment & Supplies-Repair
573117	Electronic Equipment & Supplies-Retail
506519	Electronic Equipment & Supplies-Whls
507525	Electronic Heating Equipment (Whls)
807122	Electronic Imaging
506336	Electronic Instruments (Whls)
367905	Electronic Instruments-Manufacturers
482203	Electronic Mail Service
367914	Electronic Manufacturing Services
737421	Electronic Networks
506338	Electronic Parts Assemblers (Whls)
506344	Electronic Power Supplies (Whls)
367906	Electronic Power Supplies-Manufacturers
873106	Electronic Research & Development
573124	Electronic Retailing
506341	Electronic Testing Equipment (Whls)
506335	Electronic-Mfrs Representatives (Whls)
737902	Electronics-Consultants
347198	Electroplating/Polishing/Anodizing (Mfr)
369911	Electrostatic Equipment (Mfrs)
804948	Electro-Therapists
501517	Elements & Alloys (Whls)
179611	Elevator & Escalator Inspection Service
179608	Elevator Cars-Refinishing
874828	Elevator Consultants
353498	Elevators & Moving Stairways (Mfrs)
179610	Elevators-Portable
179601	Elevators-Repairing
179605	Elevators-Sales & Service
353401	Elevators-Sales & Service-Manufacturers
508408	Elevators-Supplies & Parts (Whls)
353405	Elevators-Supplies & Parts-Manufacturers
173131	Elevators-Telephone Systems
726104	Embalmers
972107	Embassies & Legations
308913	Embedments/Encapsulations-Plastic (Mfrs)
239904	Emblems (Mfrs)
275909	Embossing (Mfrs)
508462	Embossing Equipment & Supplies (Whls)
508460	Embroidering Machines (Whls)
738942	Embroidery
355203	Embroidery-Industrial-Commercial (Mfrs)
594908	Embroidery-Supplies
513124	Embroidery-Wholesale
489906	Emergency Calls
804103	Emergency Chiropractic Service
922906	Emergency Disaster Planning
832278	Emergency Disaster Restoration Svc
809311	Emergency Industrial Medical Units
806203	Emergency Medical & Surgical Service
809307	Emergency Minor Medical Facilities/Svcs
832211	Emergency Notification Service
481203	Emergency Reporting Systems
506326	Emission Control & Equipment (Whls)
832252	Employee Assistance Programs
637103	Employee Benefit & Compensation Plans
874216	Employee Benefit Consultants
829971	Employees Educational Systems
874254	Employees Suggestion System
736103	Employment Agencies & Opportunities
736104	Employment Consultants
736304	Employment Contractors-Temporary Help
833107	Employment Counseling
899978	Employment Database Services
874861	Employment Screening Services
736303	Employment Service-Employee Leasing
736106	Employment Service-Govt Co Fraternal
833109	Employment Svc-Handicapped & Disabled
833105	Employment Training Service
736122	Employment Verification
571965	Enameled Ware
347906	Enameling Japanning & Lacquering (Mfrs)
289906	Encapsulating (Mfrs)
152134	Enclosures
521173	Enclosures-In-House-Modular
596306	Encyclopedias
801115	Endermologie
736118	Endorsement Testimonials-Secured
804976	Endoscopy Centers
999950	Energy Audits
874893	Energy Code Compliance Analysts
874212	Energy Conservation & Mgmt Consultants
329604	Energy Conservation Prods-Manufacturers
521136	Energy Conservation Prods-Svcs-Systems
503306	Energy Conservation Prods-Wholesale
382202	Energy Equipment Systems-Supplies (Mfrs)
382208	Energy Management Control Systems
171131	Energy Management Systems & Products
653149	Energy Raters
507438	Energy Recovery Systems (Whls)
507445	Engine & Boiler Room Supplies (Whls)
754928	Engine Diagnostic Service
351109	Engine Manufacturers & Distributors
753808	Engine Tuning
753823	Engine Turning
871147	Engineering
871198	Engineering & Architectural Services
504904	Engineering Equipment & Supplies (Whls)
399914	Engineering Equipment & Supplies-Mfrs
822110	Engineering Schools
871303	Engineering Surveys
871104	Engineering-Job Shops
871106	Engineers
781926	Engineers Audio
871182	Engineers Fiberglass
871187	Engineers Naval
871178	Engineers Thermal & Moisture Protection
871108	Engineers-Acoustical
871143	Engineers-Aeronautical
871103	Engineers-Agricultural
871107	Engineers-Air Cond Heating Ventilating
871211	Engineers-Architectural
871162	Engineers-Automotive
873112	Engineers-Biomedical
871212	Engineers-Building Inspection
871109	Engineers-Chemical
871110	Engineers-Civil
874853	Engineers-Communications
871180	Engineers-Computer
871112	Engineers-Construction
871111	Engineers-Consulting
871114	Engineers-Control Systems
871148	Engineers-Corrosion
871149	Engineers-Cost
871140	Engineers-Designing
871113	Engineers-Drainage
871115	Engineers-Electrical
871116	Engineers-Electronic
871150	Engineers-Energy Management
871120	Engineers-Environmental
085106	Engineers-Forest
871117	Engineers-Foundation
871163	Engineers-Gas
871118	Engineers-Geological
871119	Engineers-Geotechnical
874855	Engineers-Hazardous & Industrial Waste
871154	Engineers-Highways & Bridges
871121	Engineers-Hydraulic
871122	Engineers-Industrial
871144	Engineers-Inspecting
871160	Engineers-Irrigation
871124	Engineers-Land Planning
871153	Engineers-Machine Design
871127	Engineers-Management
871132	Engineers-Manufacturing
871126	Engineers-Marine
871151	Engineers-Material Handling
871183	Engineers-Meat Packing & Food Processing
871125	Engineers-Mechanical
871128	Engineers-Metallurgical
871130	Engineers-Mining
871123	Engineers-Municipal
871152	Engineers-Nuclear
871131	Engineers-Petroleum
871161	Engineers-Petroleum Refining & Trans
871304	Engineers-Photogrammetric
871165	Engineers-Pipe Line
871172	Engineers-Plastic
871164	Engineers-Plumbing
871169	Engineers-Pneumatic
871155	Engineers-Power
871136	Engineers-Processing
871133	Engineers-Professional
871145	Engineers-Refrigerating
871156	Engineers-Research
871157	Engineers-Safety
871138	Engineers-Sanitary
871139	Engineers-Solar
