CD PO Number,CG Order #,Part Number,Part Description,Qty,Shipped to Date Qty,Previous Ship Date,New Ship Date,Ship Date Revision
138371,194954,70320,RIG GS40120TZ,24.00,0,08/23/17,,N/A
138371,194954,70330,RIG GS50120TZ,48.00,0,08/23/17,,N/A
138371,194954,70318,RIG GS35748TZ,32.00,0,08/23/17,,N/A
138371,194954,70390,RIG GT50748TZ,36.00,0,08/23/17,,N/A
138402,194957,007272,WH04.0X1.00SFR11(KK)313,6.00,0,08/23/17,,N/A
138402,194957,101544,PRE20223ZN-3H,91.00,0,08/23/17,,N/A
138402,194957,101865,PRE30637ZN-TPR,2.00,0,08/23/17,,N/A
138402,194957,102364,PRE40120ZN-3EB,4.00,0,08/23/17,,N/A
138440,195001,203689540003,2.03689.54W/BRK3 (54368.22),200.00,0,08/22/17,,N/A
138440,195001,20368954,2.03689.54 (23689.54),400.00,0,08/22/17,,N/A
138441,195004,405149,4.05109 SS  AX3 (05214.16),29.00,0,08/21/17,,N/A
138418,195025,NF106281001,"NEVERFLAT 10"" OFFSET, 1 PC HUB",10.00,0,08/23/17,,N/A
138418,195025,NX0422816,"4x2 NX, 6205, NO TOP HATS",2.00,0,08/23/17,,N/A
138418,195025,02YQ04001S001,02YQ04001S W/(2) 5/16-18 HOLES,40.00,0,08/23/17,,N/A
138418,195025,02YQ04001S002,"02YQ04001ST, (2) 5/16-18 HOLES",88.00,0,08/23/17,,N/A
138418,195025,16YA05201S,5" SWL RIG STRIPPED 2-7/16"SP,36.00,0,08/23/17,,N/A
138418,195025,RIG4X2ES,"RIG, SWL, 4X2, ECON, ZC",640.00,0,08/23/17,,N/A
138418,195025,NJ061600,"JAM NUT, SS 3/8-16 C02-39B IMP INTERMETRO",36.00,0,08/23/17,,N/A
138445,195035,303008,3.00308 FROM COLSON GZ (52250.23),6.00,0,08/21/17,,N/A
138445,195035,303017,3.00317 AX3 (05256.03),6.00,0,08/21/17,,N/A
138445,195035,403000916,4.00003.916   (04391),200.00,0,08/21/17,,N/A
138445,195035,5050004562,WHL 5.00005.456.2 PERFORMA (05544.10),4.00,0,08/21/17,,N/A
138445,195035,205000445,WHL 2.00005.445  (05254.06),400.00,0,08/21/17,,N/A
138445,195035,505000926,WHL 5.00005.926  (05592),500.00,0,08/21/17,,N/A
138445,195035,WH8X2MOR19,WHL 8X2 MOLDON RUBBER CI CORE,50.00,0,08/21/17,,N/A
138445,195035,WH6X2CIR19,WHL 6X2 CAST IRON,50.00,0,08/21/17,,N/A
138446,195044,102955,PRE30113ZN-MNT,1.00,0,08/23/17,,N/A
138446,195044,102048,PRE40120ZN-3E,16.00,0,08/23/17,,N/A
138446,195044,104452,BMR30152TZ-GFN61(KK),4.00,0,08/23/17,,N/A
138446,195044,103660,PUT60637BK,60.00,0,08/23/17,,N/A
138446,195044,103661,PUT60637BK-B,60.00,0,08/23/17,,N/A
138446,195044,002940,Stem GN SE20302ZN,35.00,0,08/23/17,,N/A
138435A,195065,101000441,1.00001.441 WB01B (51144),600.00,0,08/23/17,,N/A
